FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
100227-8,BAHI,-5.96258,35.312075,Central,Dodoma,Bahi District Council,Bahi HC,3,Health Centre,Public,Operating
100228-6,BAHI MAKULU,-5.838564,35.451911,Central,Dodoma,Bahi District Council,Bahi makulu,3,Dispensary,Public,Operating
100229-4,BAHI RC,-5.94521,35.312127,Central,Dodoma,Bahi District Council,Bahi RC,3,Dispensary,Faith based organization,Operating
100232-8,BAKWATA,-3.82569,32.60182,Western,Shinyanga,Kahama Town Council,"Dr, Gedi",1231,Dispensary,Private,Operating
100236-9,BAKWATA NJIA PANDA,-3.40915,37.51853,Northern,Kilimanjaro,Moshi District Council,Bakwata Njia Panda,808,Dispensary,Faith based organization,Operating
100240-1,BAKWATA,-3.58555,30.71802,Western,Kigoma,Kibondo District Council,Bakwata Dispensary,1484,Dispensary,Faith based organization,Operating
100248-4,BAKWATA,,,Lake,Geita,Chato District Council,Bakwata buseresere,,Dispensary,Faith based organization,Operating
100249-2,BAKWATA,,,Southern,Lindi,Kilwa District Council,,,Dispensary,Faith based organization,Operating
100253-4,BAKWATA - MANG'ULA,,,Eastern,Morogoro,Kilombero District Council,BAKWATA,,Dispensary,Faith based organization,Operating
100255-9,RIKA,,,Northern,Kilimanjaro,Same District Council,Bakwata (Rika),,Dispensary,Private,Operating
100257-5,BAKWATA BUKUNDI,-3.89708,34.52769,Western,Simiyu,Meatu District Council,,1045,Dispensary,Faith based organization,Operating
100262-5,BAKWATA I,,,Western,Tabora,Nzega District Council,BAKWATA,,Dispensary,Faith based organization,Operating
100267-4,BAKWATA LULU,,,Eastern,Pwani,Kibaha Town Council,BAKWATA,,Dispensary,Faith based organization,Operating
100268-2,BAKWATA MAGANZO,-3.5243,34.30728,Western,Simiyu,Meatu District Council,,1198,Dispensary,Faith based organization,Operating
100269-0,BAKWATA MAJENGO,-3.66767,33.41753,Western,Shinyanga,Shinyanga Municipal Council,Majengo bakwata,938,Dispensary,Faith based organization,Operating
100272-4,BAKWATA MBIKA,-4.18819,32.2451,Western,Shinyanga,Ushetu District Council,,,Dispensary,Private,Operating
100276-5,BAKWATA MUJAHIDINA,-3.6715,33.4252,Western,Shinyanga,Shinyanga Municipal Council,Muhajirina bakwata dispansary,1132,Dispensary,Faith based organization,Operating
100280-7,BAKWATA STR. 11,-5.07968,39.10202,Northern,Tanga,Tanga City Council,BAKWATA,27,Dispensary,Faith based organization,Operating
100282-3,BAKWATA TABATA CHANG'OMBE,,,Eastern,Dar es Salaam,Ilala Municipal Council,,,Dispensary,Private,Operating
100284-9,BAKWATA UHURU,-3.67146,33.42593,Western,Shinyanga,Shinyanga Municipal Council,Uhuru Dispensary,1126,Dispensary,Faith based organization,Operating
100285-6,BAKWATA ULYANKULU,,,Western,Tabora,Kaliua District Council,BAKWATA,,Dispensary,Private,Operating
100287-2,BALANG'A,-5.31329,37.57582,Northern,Tanga,Kilindi District Council,Balang'a,971,Dispensary,Public,Operating
100288-0,BALANGDALALU,-4.64209,35.2756,Northern,Manyara,Hanang District Council,Balangdalalu,,Health Centre,Faith based organization,Operating
100289-8,BALATOGWA,-2.70638,32.64912,Lake,Mwanza,Sengerema District Council,Balatogwa Dispensary,1247,Dispensary,Public,Operating
100290-6,BALENI,-7.873031,39.806575,Eastern,Pwani,Mafia District Council,Baleni,18,Dispensary,Public,Operating
100295-5,BAMBA MAVENGERO,-4.97254,38.7966,Northern,Tanga,Mkinga District Council,BAMBA MAVENGERO,226,Dispensary,Public,Operating
100302-9,BANAWANU,,,Southern Highlands,Njombe,Wanging'ombe District Council,Banawanu,,Dispensary,Public,Operating
100303-7,BANDARI,-10.2804,40.19507,Southern,Mtwara,Mtwara Municipal Council,,21,Dispensary,Private,Operating
100304-5,BANDARI,-5.07008,39.10501,Northern,Tanga,Tanga City Council,Bandari,35,Dispensary,Parastatal,Operating
100305-2,BANDARI,-6.832175,39.28889,Eastern,Dar es Salaam,Temeke Municipal Council,Bandari Hralth Centre,22,Health Centre,Parastatal,Operating
100306-0,BANEMHI,-2.62339,34.0455,Western,Simiyu,Bariadi District Council,Banemhi,1250,Dispensary,Public,Operating
100307-8,BANGALALA,-4.23113,37.8482,Northern,Kilimanjaro,Same District Council,Bangalala,944,Dispensary,Public,Operating
100308-6,BANGATA,-3.35845,36.74753,Northern,Arusha,Arusha District Council,Sasi,1545,Dispensary,Public,Operating
100309-4,BANGATA LUTHERAN,-3.33578,36.7448,Northern,Arusha,Arusha District Council,,1655,Dispensary,Faith based organization,Operating
100310-2,BANGWE,-4.906827,29.613642,Western,Kigoma,Kigoma-Ujiji Municipal Council,Bangwe,787,Dispensary,Public,Operating
100312-8,BANJA,,,Eastern,Pwani,Mafia District Council,Banja,49,Dispensary,Public,Operating
100313-6,BANK OF TANZANIA,-2.51775,32.9066,Lake,Mwanza,Nyamagana Municipal Council,,,Dispensary,Parastatal,Operating
100314-4,BANK OF TANZANIA,,,Southern Highlands,Mbeya,Mbeya City Council,Bank of Tanzania,,Dispensary,Parastatal,Operating
100315-1,BANKOLO,-5.838545,35.451914,Central,Dodoma,Bahi District Council,Bankolo,3,Dispensary,Public,Operating
100316-9,BANYIBANYI,-5.53073,36.20378,Central,Dodoma,Kongwa District Council,Banyibanyi,1103,Dispensary,Public,Operating
100318-5,BAPTIST,-4.885428,29.658572,Western,Kigoma,Kigoma-Ujiji Municipal Council,Baptist,848,Hospital,Faith based organization,Operating
100319-3,BARA MISSION,-8.80282,32.8031,Southern Highlands,Mbeya,Mbozi District Council,,,Dispensary,Faith based organization,Operating
100320-1,BARAA RC,-3.38882,36.73671,Northern,Arusha,Arusha City Council,,1353,Dispensary,Faith based organization,Operating
100321-9,BARAKA CHEYO,-4.05875,33.3592,Western,Tabora,Igunga District Council,Wazazi Cheyo,1135,Dispensary,Private,Operating
100322-7,BARAKA,-3.343897,35.676263,Northern,Arusha,Karatu District Council,Baraka dispensary,1521,Dispensary,Private,Operating
100323-5,BARAKI,-1.38045,33.9261,Lake,Mara,Rorya District Council,Baraki,,Dispensary,Public,Operating
100324-3,BARAKI SISTERS,-1.36842,33.968,Lake,Mara,Rorya District Council,Baraki,,Health Centre,Faith based organization,Operating
